[1.87-2.85] 哈喽大家好
[2.85-6.47] 今天跟大家聊一聊小段
[6.47-10.57] 以后咱们就尽可能的咱们改一下模式
[10.57-14.97] 因为我发现如果每天往一个小时的时长聊
[14.97-18.47] 就是很多朋友们跟不上
[18.47-21.97] 就是不是那么多每天都那么多时间的人
[21.97-25.49] 这样的话我每天弄一个小时的时间
[25.49-26.81] 大家也消化不了
[26.81-29.69] 所以我想有这个想法
[29.69-34.79] 就是每逢246咱们就比较正式的弄长一点
[34.79-37.85] 然后135就想起来一阵子是一阵子
[37.85-39.75] 想什么说什么就是弄短点
[39.75-43.99] 就不同的话题分别的点到为止
[43.99-45.51] 这样也节省大家的时间
[45.51-47.89] 当然我也可以偷偷懒
[47.89-51.69] 就是246咱们就是正式的聊某些话题
[51.69-53.29] 每次都忘了一小时干
[53.29-56.81] 然后135就25分钟15分钟
[56.81-57.81] 这样的一个情况
[57.81-58.77] 我估计就是
[58.77-60.57] 就是张弛有度
[60.57-62.79] 大家可能更舒服一些
[62.79-64.29] 如果可以的话
[64.29-65.55] 大家点个头
[65.55-67.29] 如果反对声音太大
[67.29-70.47] 那我就不折腾
[70.47-71.73] 今天咱们聊什么呢
[71.73-75.95] 今天聊改命命运
[75.95-77.67] 我们具体说一下
[77.67-84.03] 怎么不凭借所谓的做法法事而凭自身改命
[84.03-85.71] 我们不是有一句话
[85.71-86.91] 大家经常聊
[86.91-88.75] 而且道行高一点的
[88.77-91.85] 玄学师傅也会不停的给你灌输
[91.85-93.89] 就是善逸者不沾
[93.89-94.91] 什么
[94.91-96.19] 怎么叫善逸者不沾呢
[96.19-102.09] 就是你如果要是真的懂得医学的道理和命运的布局的话呢
[102.09-104.65] 你就知道其实你心向善
[104.65-106.17] 不与人结怨
[106.17-107.45] 不与人结仇
[107.45-110.53] 把自己眼前的每一件事都做到尽善尽美
[110.53-112.33] 这就是最好的算命
[112.33-114.89] 这就叫真正的顺其自然
[114.89-116.67] 这就叫善逸者不沾
[116.67-118.47] 但是有的时候我们知道
[118.47-121.79] 人毕竟生活在这个五浊恶世里面
[121.79-124.61] 你也不知道你前世干了什么没屁眼的事儿嘛
[124.61-125.13] 对不对
[125.13-125.63] 因为
[125.63-126.67] 咱们就举个例子
[126.67-127.69] 比如说孙他
[127.69-129.73] 他下次再投胎
[129.73-133.57] 他可能就忘了他这辈子
[133.57-138.43] 去毒杀他的同学的这个恶行了
[138.43-139.97] 那他再去投胎的话
[139.97-142.53] 他就是个很单纯的小灵魂
[142.53-146.11] 但是他上辈子因为有这样的恶行
[146.11-146.89] 所以他
[146.89-148.17] 下一世呢
[148.17-150.47] 他就会遭受很多的厄运
[150.47-151.75] 那在这个过程中呢
[151.75-153.81] 他会不知道为什么
[153.81-156.61] 为什么人生有这样大的坎坷
[156.61-159.43] 那就会产生很多的彷徨
[159.43-162.77] 甚至很多的时候会绝望
[162.77-165.33] 那么我们作为
[165.33-167.89] 正在生存在本世中的人
[167.89-169.67] 怎么去破除这种迷障
[169.67-172.75] 怎么能够幡然毁悟醒悟
[172.75-178.13] 到自己上世累生累世的这个可能或有的恶行
[178.17-179.97] 如果没有恶行的话就是
[179.97-182.01] 上天当然也有不公的时候
[182.01-185.09] 因为他这个大机器不是那么的精美精确
[185.09-186.87] 就像我以前讲的
[186.87-188.93] 世界上的这个
[188.93-191.99] 就我们人类的这个大机器这个matrix也好
[191.99-194.29] 这个matrix也好
[194.29-195.83] 有人指责我英语
[195.83-197.63] 我英语还不错啊
[197.63-200.69] 私陪我罗考八分九分
[200.69-203.77] 你们自己对私陪八分九分对雅思的level嘛
[203.77-204.29] 对不对
[204.29-206.59] 所以我为什么说英语说的
[206.59-207.87] 简直塑料的不行
[207.87-210.69] 因为大家知道这叫温哥华啦
[210.69-212.73] 我又有钱我不用上班
[212.73-216.57] 所以我没有跟老外长时间交流的机会
[216.57-219.39] 只是我的各种在美国做生意的同学
[219.39-221.19] 有的时候带老外过来
[221.19-224.51] 我才能沉浸在英语环境里待那么一两个小时
[224.51-226.31] 所以呢我呢
[226.31-228.09] 英语就是高度退化
[228.09-230.15] 那你们上海人可能能理解我
[230.15-231.43] 上海人天天在北京混
[231.43-233.21] 让你讲上海话你讲出来吧
[233.21-234.23] 你讲不出来
[234.23-236.29] 就是如果你周围坐的都是上海人
[236.29-237.83] 你大概五分钟十分钟
[237.83-239.63] 你就恢复状态了
[239.63-241.93] 你吧啦吧啦吧啦吧啦吧啦吧啦吧啦
[241.93-244.23] 就可以讲上海话了
[244.23-246.53] 但是如果周围这一桌坐的都北京人
[246.53-247.55] 就逗你
[247.55-249.61] 小王小王你来给我们讲几句上海话
[249.61-250.89] 真说不出来
[250.89-253.19] 只能说那几句塑料上海话
[253.19-254.99] 一直让人怀疑你不是上海人
[254.99-256.27] 我的英语水平也是这样
[256.27-257.79] 你把我扔老外群里
[257.79-259.07] 不用尝我的感觉
[259.07-259.85] 两天
[259.85-261.63] 你给我48个小时
[261.63-263.95] 到第48个小时的时候
[263.95-265.23] 可以这么说
[265.23-267.79] 很多老外不知道我是第几代中国人
[267.83-271.15] 他们有的时候会猜我是第2代中国人
[271.15-272.43] 就这个英语水平
[272.43-275.25] 所以我就别挑里了
[275.25-277.05] 你还要什么自行车啊
[277.05-281.39] 我能读得出来这几个词的原因就不错了
[281.39-282.67] 所以
[282.67-284.73] 又撩了 撩哪
[284.73-286.27] 撩英语去了怎么
[286.27-288.31] 那我们就接着
[288.31-289.33] 回入正题
[289.33-291.63] 就是这个五浊恶事里面
[291.63-294.71] 我们怎么去通过自己的嗅觉
[294.71-297.01] 和通过我们的经验
[297.01-297.79] 归纳总结
[297.79-301.11] 在本事中在没有神通的状态下
[301.11-303.17] 怎么去判断出来自己
[303.17-304.95] 目前遇到的绝境
[304.95-307.01] 或者自己的困境
[307.01-309.05] 到底是因为命运的安排
[309.05-310.33] 还是因为自己
[310.33-314.69] 在报答 在补偿前世的错误
[314.69-316.47] 那你意识到这一点之后
[316.47-318.79] 怎么去不通过做法
[318.79-322.11] 不通过玄学 非科学的东西
[322.11-324.41] 通过自身的努力加以破除
[324.41-325.69] 所谓的破除迷障
[325.69-326.97] 今天咱们来点这个
[326.97-329.53] 我的心得体会
[329.53-331.33] 就是首先呢
[331.33-333.63] 当我们人生
