[0.00-2.88] 哈喽开始直播
[3.24-6.04] 怎么样效果如何
[6.04-7.04] 哈喽
[7.24-8.32] 小少妇
[8.76-10.16] 漂亮小少妇
[11.24-12.88] 哈喽金水
[12.88-13.60] 哈
[16.12-17.24] 两根葱
[19.00-20.72] 哈喽大家好
[21.48-23.72] 哈喽大家好
[27.18-28.34] 哈喽
[29.54-31.86] 难道没有点开始吗
[36.22-37.22] 好了来了
[37.22-37.58] 好
[37.58-38.22] 非常好
[38.94-40.46] 哈喽大家好
[41.42-42.14] 中毒小粉
[42.14-42.78] 给我滚
[43.30-44.34] 怎么没声音
[45.18-46.46] 对你提倡我没有
[46.46-47.46] 我说你滚
[47.46-48.22] 我想起来了
[48.22-49.50] 我去黑屋看看去
[49.82-50.70] 有没有人
[51.74-53.18] 这样就是滑了坛
[53.18-54.62] 只要出现就不用看
[54.90-55.86] 肯定没人
[56.06-57.58] 有人第一个就是他
[58.30-60.14] 不知道他得罪了谁
[60.50-62.26] 管理员隐藏用户
[62.46-64.62] 我的岳父王继中为什么给
[65.10-67.38] 谁把我的岳父王继中给
[67.58-68.66] 给评议了
[68.86-69.38] 好了
[69.38-71.26] 我的岳父王继中给你放出来了
[73.46-75.02] 这黑夜屋里只有你一个人
[75.02-77.06] 哈喽大家好
[77.06-78.46] 今天是8月20号
[78.46-79.34] 哎呀一晃
[79.34-80.62] 那个日子都过多快
[80.62-81.42] 又周三了
[81.42-83.54] 周三又是一天
[83.74-85.26] 明天晚上百刀会见
[85.26-86.94] 明天晚上聊郭文贵
[86.94-88.50] 聊文贵
[89.34-91.78] 文贵我最近又想起来了
[91.78-92.30] 为什么呢
[92.30-93.50] 这基本上
[93.70-96.26] 好多人说我跟他像
[96.26-97.46] 就包括我们
[97.46-98.38] 资深教友
[98.38-99.62] 还有各种对比
[99.62-100.58] 我跟他聊聊
[100.82-105.34] 然后聊聊网间网信办
[105.70-106.86] 也不能叫网信办
[106.86-108.02] 公安局网监部门
[108.22-109.70] 公安的网监部门
[110.54-111.66] 明天在百刀会聊
[111.78-112.94] 这东西不能拿出来聊
[113.06-113.86] 尤其是郭文贵
[113.86-114.78] 你不能拿出来聊
[114.78-115.86] 你能拿出来聊
[115.86-117.94] 就是砸锅也挺锅都不好
[117.94-118.90] 都不合适
[119.34-120.62] 你看是吧
[122.54-125.14] 对包括老王来了
[125.46-127.10] 精选这切片问我
[127.10-128.34] 在国内做你切片
[128.34-129.10] 只在油管发
[129.10-130.62] 会不会请去喝茶
[130.82-131.38] 我一会儿
[131.38-132.78] 我明天在百刀会
[132.78-133.66] 详细的给你们讲
[134.42-135.30] 我给你们掰开了
[135.30-135.86] 揉碎了
[136.06-137.98] 把公安系统内部的运作规则
[137.98-138.94] 和我
[138.94-140.86] 在中国公安内部的定义
[141.02-141.74] 定位
[142.06-143.26] 我们都是知己不知彼
[143.26-143.86] 百战不殆
[143.98-146.02] 所以包括对我的观众
[146.22-147.98] 和我的参与者的
[148.14-150.22] 目前中国公安部门的态度
