[0.00-0.68] 大家好
[0.68-3.24] 接着给大家录一段答网友信
[3.76-5.00] 我这信箱快装满了
[5.24-7.48] 二三十封三四十封我都没有读
[7.76-9.88] 我必须得把这个功课给大家补上
[10.28-12.20] 否则的话老王说话又不算了
[13.68-15.96] 在录这次节目之前给大家解释一下
[16.28-19.20] 24号25号两天可能上传不了节目
[19.60-22.08] 如果能的话可能也只能是找找我以前
[22.08-23.96] 那些录下来的那些存货
[24.24-26.68] 因为这两天我要出一趟远门
[27.28-29.12] 大概25号回来
[29.12-31.56] 26号进入正常工作状态
[32.08-34.44] 我现在开始念观众来信逐一解答
[35.16-35.88] 王主席您好
[35.88-37.28] 看了您的推特和视频
[37.56-39.60] 我认为不是所谓的翟副主席段子
[39.60-40.56] 把您逼出来的
[40.88-42.68] 我以为您还是有一颗善良的心
[42.68-44.80] 想把自己的想法传递给您的粉丝
[44.80-45.92] 让大家去思考
[46.36-48.56] 看了您讲的以色列和巴勒斯坦故事
[48.84-49.72] 我改变了想法
[49.72-51.48] 也理解了马剧为什么那么做
[51.76-53.08] 也是通过看您的视频
[53.08-56.48] 也认为您不想让韭菜们上翟副主席的圈套
[56.84-57.60] 和您一样的
[57.96-59.04] 是我也有三个孩子
[59.36-60.36] 大女儿28了
[60.36-61.76] 目前在瑞典工作
[62.12-62.84] 我插你一句
[62.84-64.44] 你说的是到我心坎里了
[65.00-66.52] 因为我看出来他又要割韭菜了
[66.84-69.76] 我不希望他在国外再干这种事
[70.04-72.08] 把反共这个圈子搞得一地鸡毛
[72.40-74.80] 老郭就已经搞了一次一地鸡毛了
[75.20-77.28] 本来口碑还是不错的
[77.64-78.64] 老郭这么一折腾
[78.64-79.80] 真的是砸了锅了
[80.56-83.00] 刘仲敬刘阿姨做过一次专题
[83.00-85.24] 叫郭文贵与黄安效应
[85.64-87.20] 总结的非常的牛逼
[87.56-89.08] 你已经吃过一次郭黄安了
[89.08-89.12] 你已经吃过一次郭黄安了
[89.12-90.52] 再来一次宅黄安
[90.92-92.52] 真的反共做不成了
[92.84-94.16] 他不是在反共
[94.16-96.72] 他要把海外华人的心得伤透了
[97.40-98.40] 以德服人
[99.68-100.24] 接着念
[100.76-103.36] 目前在瑞典工作
[103.36-104.80] 儿子也22岁了
[105.28-106.24] 在北京工作了
[106.56-107.92] 小女儿马上9岁了
[107.92-109.56] 在北京的教育学校读书
[109.56-110.64] 大女儿结婚了
[110.64-111.96] 还给我生了个小外孙
[111.96-113.12] 我家经历两代人
[113.12-114.36] 从内蒙到北京
[114.72-116.80] 落户北京过上一个普通老百姓的生活
[116.80-118.00] 12年习上任的时候
[118.00-118.76] 我天真的以为
[118.76-119.08] 习能够过来
[119.08-120.20] 习能走李登辉的路
[120.24-121.96] 为自己留下千古美名
[122.00-123.64] 当时我不理解李嘉诚先生
[123.64-125.24] 为什么决绝的离开大陆
[125.28-126.12] 当时我也知道
[126.12-128.00] 银河资本毕竟不是和自己相关的
[128.00-128.72] 能感兴趣
[128.72-130.16] 无非就是银河资本老板
[130.16-131.60] 年轻帅气有钱罢了
[131.64-132.84] 也不是很关心
[132.88-134.32] 今天看了您的推特
[134.32-135.68] 基本从头看起
[135.76-137.40] 认为您真的高厉害
[137.44-139.56] 我目前在北京的工厂被强拆了
[139.56-141.12] 5年来一直在打官司
[141.16-142.24] 在内蒙古
[142.28-144.60] 我真的是造了2万亩
[144.64-146.40] 天真的以为将来的中国
[146.40-147.72] 是永久的产权
[147.92-149.04] 近几年通过数次
[149.04-149.60] 的打脸
[149.60-150.72] 也失去了希望
[150.76-152.84] 只希望儿女们能去到自由世界
[152.84-154.00] 也就了了心愿了
[154.04-155.72] 我是旅游馆里的某某某
[155.72-157.28] 实名某某某
[157.60-158.12] 翟山英
