[1.68-3.68] 哈喽 大家好 又见面了
[3.68-5.96] 本来想上午工作
[5.96-9.94] 结果完了 早上起来车开不出去了 陷住了
[9.94-11.72] 我在动态里给大家发了照片
[11.72-13.48] 引起了大家的热议
[13.48-16.60] 其实温哥华出现这种大雪
[16.60-18.50] 能把汽车阻挡住的大雪
[18.50-21.58] 平均每两年差不多才有一次
[21.58-24.92] 所以我没有什么血胎烂七八糟的
[24.92-27.02] 因为我也不需要出门
[27.02-29.84] 所以以往下大雪我就在家待着
[29.84-31.88] 我很珍惜这个铲雪的机会
[31.88-33.62] 因为它就不等于健身
[33.62-35.64] 还是有一把好力气的
[35.64-37.84] 你想那么长的专务位
[37.84-40.24] 我那个专务位都有几十米长
[40.24-42.04] 我一个人给它铲好
[42.04-46.50] 两个小时就穿着这件衬衣
[46.50-48.56] 在冰天雪地外边铲雪
[48.56-50.12] 铲了两小时舒服极了
[50.12-51.96] 回来洗个热水澡
[51.96-54.30] 坐在这跟大家聊天
[54.30-56.04] 这简直是人生的一大享受
[56.04-59.14] 昨天我聊了一半没聊完
[59.14-61.38] 因为我一看时间50分钟了
[61.38-62.80] 咱们原则是不超过一小时
[62.80-64.90] 否则的话大家听起来太累
[64.90-68.68] 所以潦草的中国人结束的非常潦草
[68.68-71.02] 哎呀一看表再见
[71.02-75.02] 到截止目前我看有750多次评论
[75.02-78.34] 我逐条仔细看了
[78.34-82.02] 那我讲的这些东西引起了大量的共鸣
[82.02-83.56] 有部队大院的
[83.56-85.26] 然后有农村的
[85.26-86.72] 然后农村的观众说
[86.72-88.20] 老汪你说的所有的东西
[89.14-91.90] 根本就不叫潦草
[91.90-94.10] 你他妈已经是城市户口了
[94.10-95.68] 已经是吃商品粮的了
[95.68-98.14] 而且是军队大院有特供的
[98.14-102.06] 你想想我们在农村过的是什么日子
[102.06-103.84] 那个地狱的程度
[103.84-105.98] 你们那个东西如果叫地狱的话
[105.98-107.52] 我们那就是大铁围山
[107.52-111.10] 我相信你们说的都是真的
[111.10-114.76] 我也请年轻的观众们
[114.76-116.52] 和海外出生的观众们
[116.52-118.38] 相信我说的都是真的
[119.14-121.02] 年轻观众可能是
[121.02-122.80] 他说老汪你为了出名
[122.80-124.02] 为了蹭流量
[124.02-125.38] 什么都能吹
[125.38-126.64] 我已经看不下去你了
[126.64-129.14] 不想再焚你了
[129.14-134.02] 因为我焚你的原因是你真实
[134.02-137.18] 我告诉你我说的全都是真实的
[137.18-140.98] 我开这个油管真的没有任何明确的目的
[140.98-142.26] 你说我是为了钱呀
[142.26-143.06] 还是为了名啊
[143.06-143.72] 我都不是
[143.72-146.60] 我只是想玩
[146.60-148.02] 所以我想什么说什么
[148.02-148.84] 干不干我
[148.84-150.26] 我在乎粉不粉
[150.26-151.00] 我不在乎
[151.00-152.84] 我就是把我想说的
[152.84-156.38] 我替大家捡起来你们自己记忆
[156.38-159.04] 还好700多个评论里边
[159.04-163.34] 我想至少有四五百个在佐证我的记忆
[163.34-164.88] 我真的没有往里边掺假
[164.88-166.34] 我没有划中取宠
[166.34-170.34] 我说的就像马可波罗写中国游戏一样
[170.34-172.22] 就是你们如果认为我在编的话
[172.22-172.84] 我告诉你们
[172.84-175.84] 我说的不及我亲身经历的十分之一
[176.84-178.80] 我想告诉大家的是
[178.84-181.50] 所有的我这四五百个同龄人
[181.50-184.14] 或者比我年长五六岁十来岁的人
[184.14-186.92] 你们听到之后给我评论说你们哭了
[186.92-191.08] 你们一下子闪回了30年的记忆
[191.08-192.96] 30年以前的记忆
[192.96-194.68] 这正是我做这个期节目
[194.68-196.14] 潦草的中国人的目的所在
[196.14-200.14] 就是我们为什么要把自己这块记忆埋没掉
[200.14-201.84] 你我都应该反思
[201.84-205.64] 我们为什么要把我们的亲身经历的地狱
[205.64-206.84] 把它埋起来
[206.84-208.80] 好像没有发生一样
[208.84-213.30] 和我们的晚辈孩子们一起从始至终生活在天堂里
[214.22-216.60] 所以这是我们人类的悲哀
[216.60-218.26] 这跟共产党没有关系
[218.26-220.60] 不要什么事都怪共产党
[220.60-222.34] 不要什么事都怪刘仲敬
[222.34-224.22] 不要什么事都怪法轮功
[224.22-226.42] 不要什么事都怪深层美国政府
[226.42-227.88] 没有关系
[227.88-230.72] 这似乎是我们人性的弱点
[230.72-233.50] 我们在经历了重大的创伤
[233.50-235.34] 重大的痛苦之后
[235.34-238.54] 他妈的发自内心的本能的把这块记忆封存
[238.84-240.46] 删掉
[240.46-245.14] 不愿意回忆潦草的过去
[245.14-246.54] 那知道了历史之后呢
[246.54-247.96] 就开始反思啊
[247.96-252.92] 就开始想我们自己是不是生活在一个潦草的时代
[252.92-255.60] 你一想坏了好像真的是
[255.60-256.18] 为什么
[256.18-261.68] 你想49年中国和日本的起点几乎是一样的
[261.68-264.60] 因为日本被被美国炸平了嘛
[264.60-266.08] 然后呢
[266.08-267.76] 然后日本人就这样了
[267.76-268.72] 然后中国人就这样了啊
[268.84-271.18] 就这样
[271.18-273.96] 那北朝鲜和南朝鲜也一样啊
[273.96-275.50] 南北韩也一样
[275.50-277.76] 所以你制度的好坏
[277.76-278.08] 哎呀
[278.08-279.54] 说一千到一万
[279.54-281.30] 那你就看国境线摆在那儿
[281.30-282.30] 人往哪边跑
[282.30-283.46] 这不就最简单了吗
[283.46-285.54] 东德西德人种DNA
[285.54-287.50] 甚至文化可以说是完全一样
[287.50-288.60] 柏林墙一修
[288.60-291.46] 你看是哪边的人往哪边跑啊
[291.46-295.84] 所以你共产党到1979年1989年就是解不开锅了
[295.84-297.76] 你才往后退一步改革开放
[297.76-300.18] 然后人家老美过来把你代付了
[300.18-302.00] 你他妈在那装什么B呀
[302.00-304.42] 还他妈给世界指明方向
[304.42-307.18] 你吃你妈的B呀
[307.18-308.46] 你他妈好日子
[308.46-313.22] 从从我们买车03年到今天才他妈二十年
[314.46-316.80] 王宝强演过一个盲警
[316.80-318.42] 演盲的盲盲警
[318.42-322.84] 真实的描述八十年代河南山西这些矿上的情况
[327.76-329.14] 你也确认阿沫
[329.14-330.38] 西大头谁消灭了
[330.38-331.56] 你叫西大头
[331.56-332.88] 九百个怎么办
[332.88-333.76] 哎
[333.76-334.60] 叫鸡巴你买票
[334.60-335.76] 你零个号咱能让了
[335.76-337.76] 他不就先跟咱一块去干货呢
[337.76-339.46] 快叫叔叔
[339.46-340.72] 早上愿封命
[340.72-341.72] 怎么不上去了呀
[341.72-342.68] 没钱将去呗
[342.68-343.14] 干嘛呢
[343.14-344.56] 爹咋鸡巴挡了
[344.56-345.42] 这不管啊爹
[345.42-346.64] 俺家出去大众挣钱
[346.64-348.18] 都半年没有回家了
[348.18-349.42] 小二他弄什么啥是
[349.42-350.46] 都回家呢是
[350.46-351.26] 我不保释了
[351.26-352.80] 我什么都能干
[352.80-353.46] 你咋回事
[353.46-354.88] 你这状态你还真不想弄
[354.88-355.92] 你鸡巴弄个消化
[355.92-357.30] 你个岛上还混不混了你
[357.30-358.26] 我管他大人小孩
[358.26-359.30] 弄整欠就走
[359.30-360.22] 好 高兴一点
[360.22-362.12] 笑着一点
[362.12-362.72] 你行送
[362.72-363.62] 他是你二叔
[363.62-364.42] 你要是说漏了
[364.42-365.26] 就半项整欠
[365.26-365.96] 听见了没
[365.96-366.68] 听见了
[366.68-367.68] 你们几个先干着
[367.68-368.92] 可是这两天算时空
[368.92-369.68] 先给我发钱
[369.68-370.12] 老板
[370.12-371.08] 咱怎么能幸福呢
[371.08-371.80] 这什么这
[371.80-372.22] 干就干
[372.22-373.08] 不干就我滚蛋
[373.08-373.54] 老板
[373.54-374.26] 干干
[374.26-374.96] 这点干
[374.96-375.96] 谁哪儿谁哪儿啊
[375.96-376.58] 现私屋
[376.58-377.30] 马龙屋子
[377.30-377.58] 不是
[377.58-378.04] 无事
[378.04-378.88] 都在中座
[378.88-379.30] 不是老哥
[379.30-380.58] 咱这是在消货东西
[380.58-381.62] 整合一百三吧
[381.62-382.58] 小金干活一定打
[382.58-383.46] 你们知道吧
[383.46-387.34] 你要没钱你给我锁
[387.34-388.54] 大人家就消了你
[388.54-389.68] 害怕了是不是
[389.68-390.34] 香港上的马
[390.34-391.54] 你要怕死都拜不上敢
[391.54-392.16] 知道不知道
[392.16-393.08] 在那还傻
[393.08-394.62] 谁够有嘴小金不害怕
[394.62-395.16] 往那儿
[395.16-395.72] 继续干嘛
[395.72-396.72] 别害怕
[396.72-397.72] 阿龙
[397.72-399.26] 不能喘
[399.26-399.84] 好
[399.84-401.34] 听听下这嘴实在难受
[401.34-402.34] 明天就把他弄了
[402.34-403.08] 一百几
[403.08-404.12] 这夸张多嘴
[404.12-405.50] 咱俩再装俩像点
[405.50-407.50] 这阿爸 这阿妈 这阿妹妹
[407.50-408.68] 都学习课好了
[408.68-409.84] 你看脑海张的像谁
[409.84-410.54] 相信
[410.54-411.62] 手的能自能活
[411.62-413.08] 他跟车站一说他行运
[413.08-414.08] 我都觉得有点不对
[414.08-414.88] 不会吧
[414.88-416.24] 刚才给他拿个砍仗照片
[416.24-417.12] 可想
[417.12-417.78] 换球的
[417.78-418.92] 谁基本都一样
[418.92-420.04] 你说要跟他弄死
[420.04-421.08] 他家的绝后来
[421.08-422.24] 你成了旧姓干啥
[422.24-423.46] 我这心里不带劲
[423.46-423.92] 王明
[423.92-424.74] 一块儿多少了
[424.74-425.62] 谢谢呢
[425.62-426.50] 给谁结了呀
[426.50-427.38] 干妹妹
[427.38-427.92] 来
[427.92-428.42] 希望吗
[428.42-428.84] 二十五啊
[428.84-429.66] 你挤啊
[429.66-430.84] 我跟你说多少次了
[430.84-432.20] 你不是要给户头刮了
[432.20-433.50] 像不像个男人呢你
[433.50-435.28] 你还要给我刮了
[435.28-436.50] 你怎么急巴啥了你
[436.50-437.42] 咱们这号子
[437.42-438.78] 他家人按照性相抵制
[438.78-439.28] 交到这儿
[439.28-440.08] 咱不就万了
[440.08-441.32] 叫急巴你弄胆是不是
[441.32-442.32] 这急巴狂张天天
[442.32-443.28] 排着跟咱一块儿干活
[443.28-444.28] 你莫法下手啊你
[444.28-445.38] 不说咱都把他弄了
[445.38-446.32] 你白记住了
[446.32-447.70] 咱弄不弄等个几回啊
[447.70-448.74] 我就看你对那号儿
[448.74-449.66] 有点同情了吧
[449.66-450.62] 这急巴不是同情的事
[450.62-451.32] 我跟你说
[451.32-452.12] 我觉得冯明正号儿
[452.12-452.54] 活着哪
[452.54-453.58] 连急巴女的都没碰过
[453.58-454.50] 死路可魁
[454.50-455.32] 这还不容易
[455.32-455.88] 找个女的
[455.88-457.38] 给他抬抬后腹就走呢
[457.38-457.84] 二哥
[457.84-458.70] 借我几块钱
[458.70-459.12] 能不能
[459.12-459.84] 你不挂了
[459.84-460.92] 我一会去上去换给你
[463.18-464.18] 真高尚高中啊
[466.44-467.80] 我看你这家伙
[467.80-468.50] 冯明
[468.50-469.80] 今天咱是不是干活没劲儿啊
[469.80-471.30] 想在这个街上给你按摩按摩
[471.30-471.80] 都有劲儿
[471.80-472.68] 都承认了
[472.68-473.30] 二叔
[473.30-474.10] 我
[474.10-475.10] 别说坏事了
[475.10-476.18] 没得劲儿了
[478.10-478.96] 你咋不动手了
[478.96-480.10] 走事儿讲诡计中的
[480.10-481.34] 还得跟他合送星球了呀
[481.34-481.68] 行
[481.68-483.26] 急巴合了合啥球
[483.26-484.30] 那急巴合不合
[484.30-484.84] 是他的事
[484.84-486.10] 让不让他合是咱的事
[486.10-486.72] 那走
[486.72-487.30] 听你的
[487.30-488.10] 过两天
[488.10-488.68] 二叔
[488.68-489.26] 我上车
[489.26-490.18] 借你的钱换给你
[490.18-490.64] 中了吧
[490.64-491.50] 就几块钱
[491.50-492.10] 阿妈说啊
[492.10-492.76] 好景好话
[492.76-493.56] 咱借不纳
[493.56-493.84] 哎
[493.84-494.46] 二叔
[494.46-495.14] 冯明
[495.14-496.14] 你瞎去吧
[496.14-496.80] 跑哪儿了跑
[496.80-497.30] 二叔
[497.30-498.34] 我给你买了个鸡
[500.34-500.84] 二叔
[501.34-501.84] 汤叔叔
[501.84-502.48] 谢谢你们
[502.48-503.56] 祝你们身体健康
[503.56-504.34] 多多方便
[504.34-504.94] 冯明
[504.94-506.22] 二叔要是怼不住你的地方
[506.22-507.44] 可拜承二叔的气啊
[507.44-507.84] 啰嗦
[507.84-509.76] 看看谁不让你对我报名号
[509.76-510.18] 汤叔
[510.18-510.80] 不客气
[510.80-511.26] 喝不喝
[511.26-512.30] 跟那二叔喝吧
[512.30-512.94] 二叔
[512.94-513.60] 冯明
[513.60-514.48] 想家了吧
[514.48-515.30] 咋不想啊
[515.30-517.06] 那让那二叔送你回家吧
[517.06-518.18] 想得也不想
[518.18-519.44] 我恰好没登过来
[520.64-526.08] 大师安眠啊
[528.81-530.21] 这是李叔跟我写法的合同
[530.21-531.01] 自己也给三万
[531.01-531.39] 还让他
[531.39-531.47] 交给我
[531.47-532.01] 交出来吧
[532.01-532.47] 这是
[532.47-533.35] 你不是他侄子吗
[533.35-535.27] 你是不是就想把家乡给抬上去
[535.27-536.47] 我不是这个意思
[540.94-542.16] 只不过
[542.16-543.58] 最后是王宝强没死
[543.58-546.04] 是想杀他的那些人死了
[546.04-546.98] 但真实情况是
[546.98-548.12] 肯定是王宝强死了
[548.62-549.24] 被人害了
[549.24-549.62] 为什么
[549.62-551.62] 什么都没有
[551.62-553.08] 那是一九八几年的事
[553.08-554.04] 一九九几年
[554.04-555.86] 还在这个状态中
[555.86-557.04] 真正有了钱
[557.04-559.28] 真的是两千年以后的事
[559.28-560.24] 就这二十年
[561.20-563.66] 记忆就已经遗忘成这个造型了
[563.66-565.16] 潦草的日子刚刚结束了
[565.16-566.78] 过了几天
[566.78-568.08] 物质上不太潦草了
[568.08-570.66] 但是精神上依然潦草
[570.66-572.86] 你像我父亲母亲这样的家庭背景
[572.86-575.16] 我母亲是河北人
[575.16-577.04] 他那个家庭也不错
[577.04-579.16] 是珠宝店出身
[579.16-580.40] 银匠楼的掌柜的
[580.40-581.16] 那是我姥爷
[583.82-588.12] 那么我也过了这样赤贫的人生一生
[588.12-591.58] 也是1949年是一个卡尔分水岭
[591.58-594.46] 我母亲虽然很仁慈
[594.46-595.04] 就是有要饭的
[595.04-595.80] 什么的
[595.80-598.62] 她会去接济穷人
[598.62-602.54] 但是她身上带过来的那些潦草的痕迹
[602.54-604.88] 就即使她是一个小姐出身
[604.88-606.84] 我爸爸是一个小开出身
[606.84-609.58] 但是他们过了49年到79年
[609.58-610.88] 这30年之后
[610.88-615.12] 他们人生从几岁到他们40岁定型之后
[616.34-618.04] 他们这东西一辈子都改不了
[618.04-619.28] 我给你们举个例子
[619.28-621.70] 你们一定有共鸣
[621.70-623.74] 你们的父亲母亲是不是这样的
[623.74-624.88] 无论他们有多少钱
