[1.14-2.46] Hello 大家好
[2.46-4.42] 今天是星期天
[4.42-6.74] 本来今天老王打算忙一上午
[6.74-7.86] 结果忙了一整天
[7.86-8.78] 刚刚到家
[9.38-10.86] 你看我穿着一件衣服
[10.90-12.74] 就知道我又工作去了
[12.78-14.38] 我穿成了厅局风
[14.46-15.38] 这就没办法
[15.62-17.46] 现在的厅局风流行
[17.62-19.02] 我也赶一下流行
[19.34-21.30] 这个是Lululemon的
[21.30-23.18] Lululemon是加拿大本地的品牌
[23.18-25.26] 它居然有厅局风的夹克
[25.30-26.06] 我看到了以后
[26.06-27.30] 我就赶紧抄了一件
[27.86-28.18] 好了
[28.18-29.34] 今天说正经的
[29.34-31.82] 按照咱们的日程次序
[32.18-34.26] 今天是读观众来信时间
[34.30-35.98] 但是出大事了
[35.98-36.46] 为什么
[37.34-38.78] 小红鸟今天造反了
[38.78-40.14] 我家早晨起来
[40.14-42.10] 无数我的网友来信
[42.10-42.70] 说小红鸟
[43.22-44.46] 喷了你10分钟
[45.74-46.50] 我一看
[46.50-47.86] 他真的喷了我10分钟
[48.18-49.74] 我非常诧异
[49.94-52.06] 因为我一直在对他释放善意
[52.06-53.98] 没想到恶毒的家伙
[53.98-55.46] 居然喷了我10分钟
[55.46-56.14] 所以早上起来
[56.14-56.90] 我又没时间
[56.90-58.54] 因为我这出去公干
[59.02-59.34] 我就把
[59.34-61.54] 他龙门给扣上了
[61.54-63.18] 那个手还真是我的手
[63.18-65.34] 有人说老王的手真嫩
[65.58-67.62] 这是因为养尊处优的
[67.62-69.30] 最近没下地干活
[69.30-70.66] 等明年春天
[70.66-72.10] 就不是这样的状态了
[72.58-76.38] 今天前半截就回赐小红鸟
[76.38-77.62] 给它盖棺定论
[77.62-78.66] 大家一看
[78.66-80.30] 这老王你怎么喷死他
[80.54-80.98] 你喷死
[80.98-81.50] 哎呀
[81.50-82.54] 想多了
[83.86-85.34] 喷小红鸟
[85.34-86.14] 对老王来说
[86.14-87.38] 就是云淡风轻
[87.38-88.58] 弹指一挥
[88.58-90.46] 用不着费那么大劲
[90.46-92.14] 而小红鸟喷我那10分钟
[92.14-92.46] 哎呀
[92.46-93.86] 我一看又疯了
[93.86-95.10] 披头散发
[95.10-96.10] 面目猙獰
[96.10-97.50] 就个发狂的状态
[98.18-100.18] 这就是高下已决
[100.18-102.70] 就是我就把他给弄死了
[102.70-103.54] 他呀
[103.54-105.62] 浑身功率全开
[106.98-107.78] 为什么呢
[107.94-108.98] 这心有正气
[108.98-109.82] 急因压制
[109.82-111.02] 就是这句话
[111.02-112.14] 我总结了一下
[112.14-113.06] 没有时间看的
[113.06-114.54] 是看网友
[115.02-115.98] 热心网友
[115.98-117.70] 就是看热闹不嫌事大的网友
[117.70-118.54] 给我汇报的
[118.58-120.86] 几个攻击我的几个要点
[120.86-121.50] 第一
[122.42-124.38] 他期期都看我的节目
[124.38-125.46] 说我喷的
[125.46-126.94] 说我在我节目里说的
[126.94-128.54] 都是10年前的知识
[128.54-129.22] 就是那意思
[129.22-130.10] 就是我out了
[130.10-131.26] 他都是新知识
[131.46-132.74] 这个不是攻击我的点
[132.74-133.94] 我觉得他是在夸我
[133.94-135.94] 因为他可能觉得自己有个机关枪
[135.94-138.02] 而我手里只有一把杀猪刀
[138.02-138.82] 没事
[138.82-140.34] 我用杀猪刀就把他杀了
[140.34-141.50] 我用不着机关枪
[141.50-142.70] 我杀宅神英
[142.70-143.82] 我用不着机关枪
[144.26-146.18] 我10年以前的知识
[146.18-146.90] 是不是陈旧
[146.90-147.34] 我不知道
[147.34-148.02] 但是呢
[148.02-149.42] 大家回忆回忆
[149.42-150.06] 在网上
[150.06-151.10] 在YouTube里边
[151.10-151.94] 踢爆宅山英
[151.94-152.82] BS云盒的
[152.82-153.54] 是不是我
[154.62-155.38] 就给他踢爆了
[155.38-156.98] 10年以前的知识就够了
[156.98-158.94] 就揭穿他BSC云盒
[159.30-159.90] 假币的
[160.78-162.14] 说的那么清楚的人
[162.14-162.98] 是不是老王
[162.98-165.82] 是不是10年以前的知识够不够用
[165.82-166.70] 宅山英对付你
[166.70-168.22] 都用不着现在的知识
[169.58-170.38] 第二
[170.38-173.58] 谷歌工程师是共产党给我派来的卧底
[175.02-177.06] 我怎么去反驳
[177.06-177.98] 其实我不反驳了
[178.02-180.06] 因为如果这都信的话
[180.06-180.98] 你智商有问题
[180.98-182.34] 你不要看老王的节目了
[182.34-186.14] 谷歌的工程师是共产党派给安排给我的特务
[186.14-188.34] 这个脑回路怎么这么清奇
[188.34-188.94] 我怎么
[189.42-191.18] 我无法我无法辩国
[191.18-191.94] 我操
[191.94-193.06] 我这么好使吗
[193.06-195.26] 共产党都给我安排谷歌的特务
[195.42-196.86] 我怎么不知道我什么待遇
[196.86-198.14] 我不得正部级以上
[198.14-199.14] 副国级待遇
[200.82-201.30] 第三
[201.30-202.06] 又是大牙缝
[202.06-202.82] 喷了我5分钟
[202.82-204.54] 就说是我牙缝大
[205.02-206.46] 我给我给宅山英上一课
[206.46-207.14] 这不叫
[207.14-207.42] 嗯
[207.42-207.78] 这不叫牙缝
[207.78-208.34] 牙坏了
[208.34-208.90] 没钱整牙
[208.90-209.90] 这就叫牙缝大
[209.90-211.06] 中间这个牙缝
[211.30-213.34] 在西方它是一个fashion
[213.34-214.34] 是个特点
[214.38-216.66] 只有中国的那些老土三幼
[216.70-218.18] 才觉得这是个事
[218.50-220.22] 别不服宅山英
[220.22-220.62] 我告诉你
[220.70-221.38] 宅山英听好了
[221.62-222.86] 我给你上一课
[222.90-223.86] 关于时尚
[223.90-225.22] 最时尚的国家是哪个国家
[225.22-226.22] 宅山英别说错了
[226.58-227.54] 法国对不对
[227.54-228.46] 法国最时尚
[228.46-228.86] 对不对
[228.86-229.82] 巴黎最时尚
[229.86-231.46] 法国总统叫什么名字
[231.50-232.66] 是不是马克龙
[232.70-234.02] 马克龙对不对
[234.54-235.62] 1977年生日
[235.62-237.18] 马克龙跟我们是同龄人
[237.18-237.74] 我75年
[237.78-238.74] 马克龙77年
[238.74-240.90] 你看看马克龙的牙缝大
[240.90-242.02] 还是我的牙缝大
[242.06-243.70] 马克龙没有钱整牙
[243.70-243.98] 是吧
[243.98-244.50] 宅山英
[244.50-245.74] 你快别丢人了
[245.74-247.90] 我不想在牙缝里跟你再战斗了
[247.90-248.82] 你已经在牙缝里
[248.82-250.02] 给我战斗了一个月了
[250.06-251.26] 先过去
[251.70-252.78] 这牙很健康
[252.78-253.54] 比你健康多了
[253.54-254.50] 你个黄板牙
[254.50-255.14] 宅山英
[255.14-256.78] 你不要再提牙缝的事了
[256.78-257.58] 憋愤
[257.62-258.70] 马克龙
[259.02-259.62] 哎呀
[259.62-261.58] 我不辩驳这条
[261.62-262.18] 第4
[262.18-263.98] 一个黄金2000万买壳的时候
[263.98-265.18] 王金周进了监狱
[266.70-267.42] 哪一年
[267.42-267.74] 2014年
[267.74-267.78] 2014年
[267.78-269.18] 2013年以前说的事
[269.38-270.94] 这不一派胡言吗
[270.94-273.06] 这我怎么去辩驳呢
[274.34-275.86] 我没进过监狱
[276.18-277.70] 这我无法辩驳
[277.70-279.54] 就是说还有人说我
[279.58-280.58] 还有人告诉我
[280.58-284.38] 宅山英说我是借钱嫖娼进了监狱
[285.06-287.30] 总之我是跟监狱交上了
[287.30-288.86] 什么看守所监狱这样
[289.18-290.30] 宅山英最擅长的
[290.30-292.66] 就是把自己一淫成我
[292.94-293.90] 把我
[294.34-295.50] 把我的人生经历
[295.50-297.02] 我帮一百家企业上过市
[297.34-297.74] 我做
[297.74-298.26] 猛牛
[298.42-300.02] 什么蓝衍平抄我作业
