[0.98-2.26] 哈喽 大家好
[2.26-3.82] 怎么样 像不像小熊
[3.82-7.32] 把罗纳德的这个小熊帽子
[7.32-8.74] 戴一下
[8.74-10.34] 给我儿子的
[10.34-13.68] 今儿早上他戴着上学
[13.68-16.60] 被我偷拍的那个同一个帽子
[16.60-19.06] 好玩吧
[19.06-23.06] 今天本来想休耕一天
[23.06-24.52] 给大家请了假了都
[24.52-27.68] 因为今天我去上成人高中了
[27.68-29.04] 上了一天
[29.04-30.20] 这是第一天
[30.20-32.62] 给我留太多作业了
[32.62-33.34] 我刚写完
[33.34-35.46] 有朋友们说
[35.46-37.34] 你就学周星驰
[37.34-38.18] 陶渲 威龙
[38.18-40.14] 你花钱雇同学们写
[40.14-41.98] 他们还不如我
[41.98-43.44] 我水平到了半天
[43.44-44.76] 还是他们在里边最高的
[44.76-46.62] 他们一个一个的就更笨了
[46.62-48.00] 没事
[48.00-50.88] 我花钱请我闺女帮我
[50.88-53.98] 我会想办法协调好时间的
[53.98-55.54] 本来今天想揽一下
[55.54-57.20] 结果为什么没忍住
[57.20-59.72] 老五月在讲
[59.72-60.18] 就是
[60.20-61.96] 恒大破产清盘
[61.96-63.38] 我看了
[63.38-64.62] 我回来我一看
[64.62-66.02] 我擦完毕行了
[66.02-67.50] 长夜漫漫无心睡眠了
[67.50-69.10] 我去
[69.10-71.84] 这不是踢我的场子吗
[71.84-73.14] 这趁我不背
[73.14-75.26] 我去上成人高中
[75.26-76.40] 我单于淫乐
[76.40-78.38] 整天插口打魂
[78.38-81.08] 扯用不着的向娱乐界发展了
[81.08-84.82] 结果五月散人插入我的本专业
[84.82-85.52] 哎呀
[85.52-87.62] 今天呢
[87.62-88.46] 我说之前
[88.46-89.48] 大家做好一个准备
[89.48-89.72] 第一
[89.72-90.90] 拿好笔
[90.90-91.76] 第二拿好纸
[91.76-92.48] 第三呢
[92.48-97.90] 这将是你们人生中经历的第一次金融实战课程啊
[97.90-99.26] 非常之干
[99.26-101.54] 你们这不是我去上成人高中了吗
[101.54-103.84] 你们未来五天就反复看吧啊
[103.84-105.50] 我相信一定会货一飞浅
[105.50-107.68] 我今天给大家录不长吗
[107.68-108.92] 因为我要我着急睡觉
[108.92-110.60] 明天还上课呢
[110.60-113.50] 争取半个小时说七七八八差不多
[113.50-115.72] 就是能说到的我全部点到
[115.72-117.60] 然后有什么问题评论区或者电子邮件老规矩问我啊
[117.60-117.62] 我会给你们提供的评论区或者电子邮件老规矩问我啊
[117.62-120.32] 有什么问题评论区或者电子邮件老规矩问我啊
[120.32-122.14] 然后我给大家补充讲啊
[122.14-123.50] 未必能用得着
[123.50-125.30] 乃是屠龙之术
[125.30-125.86] 但是呢
[126.98-131.06] 你听完我这个恒大以及未来的碧桂园啊
[131.06-131.86] 他们都会破产的
[131.86-133.46] 不用着急啊
[133.46-134.38] 一个一个啊
[134.38-135.80] 那一根放血全都会
[135.80-137.36] 时间问题
[137.36-139.40] 为什么他们一定会破产
[139.40-141.50] 为什么他们一定会重整
[141.50-145.82] 为什么他们一定要走什么样的路线
[145.82-147.38] 背后隐藏着什么样的秘密
[147.38-147.60] 你去看
[147.62-149.06] 全都清楚了
[149.06-149.96] 你全都清楚
[149.96-153.02] 你们会对这个世界产生崭新的认识啊
[153.02-154.22] 不要太愤世嫉俗
[154.22-156.32] 这就是世界
[156.32-157.44] 世界一直如此
[157.44-159.20] 你只不过刚刚知道啊
[160.88-162.02] 在此之前呢
[162.02-166.82] 我要讲一下我本本期的文风本期的文风呢
[166.82-167.90] 不再骂人了啊
[167.90-169.52] 因为没办法骂人太干了
[169.52-170.72] 没有时间骂人
[170.72-174.22] 然后本期的文风尽可能的讲的非专业化
[174.22-176.62] 就是专业知识非专业化
[176.62-177.30] 因为
[177.62-178.88] 还是那句话
[178.88-181.00] 如果我越讲越复杂
[181.00-181.94] 讲不清楚
[183.44-185.86] 老太太们听不懂
[185.86-187.00] 那就是说明
[187.00-187.88] 第一要不我坏
[187.88-188.96] 我故意不想让他们听懂
[188.96-189.92] 第二要不我蠢
[189.92-190.86] 我自己也不懂
[190.86-191.48] 对不对
[191.48-193.28] 所以所有的真理都是三句话
[193.28-193.94] 能讲清楚吗
[193.94-196.82] 我今天来来尝试一下
[196.82-200.36] 让你们都成为上市公司破产
[200.36-203.62] 清盘破产重整的专家
[203.62-204.26] 绝对的啊
[204.26-205.62] 听完这个老王的这一期
[205.62-207.12] 你们全都是专家
[207.12-209.70] 全都给你们讲的清楚
[209.70-210.84] 这不是凶下来
[210.84-211.86] 不是八字奶
[211.86-213.26] 这是大凶好吗
